wyscout_name,fm_name,fm_id,fm_nation,match_score,logo_url
Austria Klagenfurt,SK Austria Klagenfurt,16057026,Austria,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_16057026.png
Austria Lustenau,SC Austria Lustenau,106363,Austria,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_106363.png
Avaí,Avaí Futebol Clube,107208,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_107208.png
Bahia,Esporte Clube Bahia SAF,315,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_315.png
Bahia de Feira,Associação Desportiva Bahia de Feira,320262,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_320262.png
Bandırmaspor,Teksüt Bandırmaspor,130304,Türkiye,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_130304.png
Banfield,Club Atlético Banfield,80,Argentina,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_80.png
Bangladesh Police,Bangladesh Police FC,5628934,Bangladesh,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5628934.png
Barra,Barra Futebol Clube (SC),19213392,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_19213392.png
Barracas Central,Club Atlético Barracas Central,952695,Argentina,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_952695.png
Basel,FC Basel 1893,1849,Switzerland,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1849.png
Belgrano,Club Atlético Belgrano,81,Argentina,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_81.png
Bellinzona,AC Bellinzona,1101431,Switzerland,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1101431.png
Benfica,Sport Lisboa e Benfica,1487,Portugal,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1487.png
Bengaluru,Bengaluru FC,40024212,India,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_40024212.png
Beroe,Beroe Stara Zagora,341,Bulgaria,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_341.png
Betim,Betim Futebol,19170069,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_19170069.png
Blooming,"Club Social, Cultural y Deportivo Blooming",1200689,Bolivia,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1200689.png
Boca Juniors,Club Atlético Boca Juniors,82,Argentina,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_82.png
Bokelj,FK Bokelj Kotor,136474,Montenegro,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_136474.png
Bolívar,Club Bolívar,309,Bolivia,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_309.png
Boston River,Club Atlético Boston River,5512793,Uruguay,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5512793.png
Botafogo,Botafogo de Futebol e Regatas SAF,316,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_316.png
Brusque,Brusque Futebol Clube SAF,301302,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_301302.png
Brühl,SC Brühl St. Gallen,5727277,Switzerland,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5727277.png
Bucheon 1995,Bucheon FC 1995,66010556,The Republic of Korea,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_66010556.png
Busan I'Park,Busan IPARK FC,130775,The Republic of Korea,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_130775.png
CRAC,Clube Recreativo e Atlético Catalano,303018,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_303018.png
CRB,Clube de Regatas Brasil,301102,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_301102.png
CSA,Centro Sportivo Alagoano,107210,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_107210.png
Cagliari,Cagliari Calcio,1114,Italy,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1114.png
Caldas,Caldas Sport Clube,2420,Portugal,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2420.png
Camboriú,Camboriú Futebol Clube SAF,8832366,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_8832366.png
Campinense,Campinense Clube,301210,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_301210.png
Capivariano,Capivariano Futebol Clube,318891,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_318891.png
Carabobo,A.C. Carabobo Fútbol Club,5300226,Venezuela,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5300226.png
Caracas,Caracas Fútbol Club,109188,Venezuela,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_109188.png
Cartagena,F.C. Cartagena,4203003,Spain,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_4203003.png
Cartaginés,CS Cartaginés,102366,Costa Rica,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_102366.png
Catanzaro,U.S. Catanzaro 1929,1119,Italy,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1119.png
Caxias,Sociedade Esportiva e Recreativa Caxias do Sul,301266,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_301266.png
